canvas-tool--minimal-tech |   ✓ all checks passed
commerce--bold-confident |   ✓ all checks passed
commerce--editorial-warm |   ✓ all checks passed
commerce--playful-soft |   ✓ all checks passed
community-feed--playful-soft |   ✓ all checks passed
conversation-copilot--corporate-trust |   ✓ all checks passed
conversation-copilot--editorial-warm |   ✓ all checks passed
conversation-copilot--minimal-tech |   ✓ no errors (warnings above — review before merge)
dashboard--bold-confident |   ✓ all checks passed
dashboard--corporate-trust |   ✓ all checks passed
dashboard--editorial-warm |   ✓ all checks passed
dashboard--minimal-tech |   ✓ no errors (warnings above — review before merge)
dashboard--playful-soft |   ✓ all checks passed
document-content--bold-confident |   ✓ all checks passed
document-content--editorial-warm |   ✓ all checks passed
document-content--minimal-tech |   ✓ all checks passed
marketing-landing--bold-confident |   ✓ all checks passed
marketing-landing--editorial-warm |   ✓ all checks passed
marketing-landing--minimal-tech |   ✓ all checks passed
monitoring-ops--minimal-tech |   ✓ all checks passed
